Small Unit Installation Postcode,Previous Years (2001-2004) - Installations Quantity,Jan 2005 - Installations Quantity,Feb 2005 - Installations Quantity,Mar 2005 - Installations Quantity,Apr 2005 - Installations Quantity,May 2005 - Installations Quantity,Jun 2005 - Installations Quantity,Jul 2005 - Installations Quantity,Aug 2005 - Installations Quantity,Sep 2005 - Installations Quantity,Oct 2005 - Installations Quantity,Nov 2005 - Installations Quantity,Dec 2005 - Installations Quantity,Jan 2006 - Installations Quantity,Feb 2006 - Installations Quantity,Mar 2006 - Installations Quantity,Apr 2006 - Installations Quantity,May 2006 - Installations Quantity,Jun 2006 - Installations Quantity,Jul 2006 - Installations Quantity,Aug 2006 - Installations Quantity,Sep 2006 - Installations Quantity,Oct 2006 - Installations Quantity,Nov 2006 - Installations Quantity,Dec 2006 - Installations Quantity,Installations Quantity Total
0000,510,14,9,18,27,31,26,20,16,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,677
0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0800,49,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,54
0801,11,1,2,0,1,1,0,1,0,0,0,1,4,1,0,0,1,0,0,0,0,4,2,0,0,30
0804,2,0,1,0,0,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,11
0810,377,8,6,7,7,6,10,8,13,19,21,12,10,9,8,17,7,23,22,18,19,26,7,9,6,675
0811,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0812,318,5,10,5,8,7,6,5,7,14,7,8,8,5,4,5,3,13,15,18,12,21,21,16,2,543
0813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3
0814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,1,0,10
0820,259,3,3,4,3,11,6,9,10,7,4,5,8,5,5,6,2,29,5,9,9,10,6,11,1,430
0821,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17
0822,55,3,3,1,0,0,11,1,1,0,0,1,1,3,6,0,0,0,5,8,1,0,2,1,1,104
0825,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
0826,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0827,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0828,24,0,0,0,0,5,1,6,0,0,0,0,1,0,0,2,0,0,1,1,2,0,1,1,0,45
0829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0830,349,18,8,11,5,13,13,19,16,10,18,15,14,7,20,21,16,28,31,18,32,35,26,33,13,789
0831,15,0,0,0,1,1,1,4,2,1,2,1,0,1,1,0,1,1,1,1,0,1,0,0,0,35
0832,156,2,1,3,2,7,9,7,17,8,2,4,6,4,10,2,9,13,5,2,3,5,1,4,1,283
0834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0835,128,2,5,2,0,5,1,2,1,4,1,3,3,1,5,0,2,6,6,1,5,5,3,0,0,191
0836,116,3,2,3,2,4,1,2,7,5,1,4,4,0,3,4,5,5,4,5,4,11,7,3,3,208
0837,21,0,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,29
0838,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7
0839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0840,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,1,0,1,1,14
0841,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,9
0845,8,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,16
0846,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,12
0847,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0850,86,2,3,0,1,1,3,0,1,5,16,3,1,1,2,0,2,5,7,5,5,2,1,0,1,153
0851,18,1,0,0,1,2,2,0,1,2,1,2,3,0,2,0,1,2,1,0,4,0,0,0,0,43
0852,33,7,0,0,2,10,22,5,9,1,0,0,1,0,0,0,2,2,0,7,0,0,0,0,2,103
0853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0854,32,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,42
0860,31,0,1,0,2,1,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,2,0,1,44
0861,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11
0862,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
0870,712,18,15,9,16,9,6,9,8,22,7,15,5,2,5,19,10,13,22,27,41,21,17,14,12,"1,054"
0871,40,0,0,0,0,1,1,3,1,0,2,0,1,0,0,1,1,1,2,0,1,1,1,0,1,58
0872,221,0,0,7,9,0,2,10,2,2,5,1,1,0,0,1,0,2,1,1,0,0,0,0,0,265
0880,11,1,1,1,0,0,3,0,0,12,9,0,0,0,1,1,0,2,1,1,3,3,4,0,2,56
0881,6,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12
0885,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0886,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0909,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
