Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Jan 2019 - Installations Quantity,Feb 2019 - Installations Quantity,Mar 2019 - Installations Quantity,Apr 2019 - Installations Quantity,May 2019 - Installations Quantity,Jun 2019 - Installations Quantity,Jul 2019 - Installations Quantity,Aug 2019 - Installations Quantity,Sep 2019 - Installations Quantity,Oct 2019 - Installations Quantity,Nov 2019 - Installations Quantity,Dec 2019 - Installations Quantity,Jan 2020 - Installations Quantity,Feb 2020 - Installations Quantity,Mar 2020 - Installations Quantity,Apr 2020 - Installations Quantity,Installations Quantity Total
2903,68,3,0,2,0,2,3,0,1,1,2,2,2,2,1,1,0,90
2904,40,2,0,0,2,0,1,1,1,1,3,2,0,0,5,2,1,61
2905,181,1,2,0,1,4,2,4,3,4,4,1,5,2,10,2,0,226
2906,30,1,3,1,1,3,1,3,3,1,1,0,1,26,21,11,1,108
2911,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2912,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2913,46,1,2,1,0,0,0,2,2,2,5,3,2,1,7,8,1,83
2914,35,2,0,0,1,1,0,13,32,1,4,1,2,1,1,2,0,96
3000,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51
3002,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7
3003,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3011,26,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,31
3012,96,1,1,0,0,3,1,5,2,0,0,0,0,0,0,0,0,109
3013,13,0,1,0,3,0,1,0,1,1,1,0,0,0,1,1,0,23
3015,15,0,0,1,1,1,1,0,2,0,0,0,0,0,2,1,2,26
3016,27,0,1,0,0,1,2,3,1,2,0,1,1,12,0,0,0,51
3018,19,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,24
3019,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,11,22
3020,28,0,1,0,0,1,7,0,0,0,1,2,0,0,0,0,2,42
3021,19,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,23
3022,7,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,26
3023,64,0,0,0,0,2,6,1,0,1,152,0,3,1,0,0,0,230
3024,11,0,0,1,0,0,1,1,1,1,2,0,0,1,0,0,0,19
3025,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
3026,0,0,0,0,0,1,8,10,0,1,0,0,0,0,0,1,0,21
3027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3028,13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,16
3029,58,1,0,0,3,1,0,0,2,0,1,3,0,0,0,1,0,70
3030,195,17,1,2,3,2,1,2,20,1,3,4,3,1,0,1,2,258
3031,34,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,40
3032,19,0,0,0,0,3,0,0,2,0,1,1,16,2,1,0,0,45
3033,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7
3034,12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14
3036,53,0,0,0,0,0,0,0,0,0,2,0,23,9,6,1,0,94
3037,12,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,16
3038,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
3039,15,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,19
3040,27,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,30
3041,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
3042,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
3043,17,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,20
3044,65,1,4,1,3,1,0,0,0,0,1,0,1,1,0,1,0,79
3046,86,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,95
3047,4,0,0,6,0,0,0,1,0,0,1,2,0,0,0,0,0,14
3048,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3049,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8
3051,15,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,21
3052,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3053,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6
3054,15,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,21
3055,30,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,38
3056,74,0,3,3,0,1,0,1,2,2,3,0,0,2,0,1,0,92
3057,32,0,1,1,1,1,0,0,2,0,0,0,1,0,0,1,0,40
3058,95,2,1,5,1,3,2,2,0,1,2,1,1,0,2,3,2,123
3059,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10
3060,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
3061,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3063,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
3064,101,0,2,0,1,0,1,3,0,2,0,3,1,0,0,0,0,114
3065,18,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,22
3066,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3067,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3068,50,1,2,3,0,0,1,1,1,1,1,3,1,1,0,3,0,69
3070,87,2,0,0,2,1,3,2,0,1,2,3,0,2,4,1,2,112
3071,54,0,1,1,3,1,0,1,1,2,1,0,1,0,1,2,0,69
3072,43,1,1,3,1,3,1,1,2,1,2,2,0,0,0,0,1,62
3073,52,0,0,1,0,1,3,1,1,1,1,0,0,0,0,0,1,62
3074,12,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,19
3075,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9
3076,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13
3078,41,0,3,3,0,1,0,0,2,1,0,0,1,0,1,0,0,53
3079,38,0,2,0,1,1,0,0,0,1,2,1,1,0,2,1,0,50
3081,20,0,0,0,0,0,1,2,0,0,1,2,1,0,0,2,0,29
3082,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
3083,212,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,214
3084,38,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,41
3085,60,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,65
3087,9,1,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,15
3088,37,1,2,0,3,0,0,1,2,0,0,1,0,0,1,0,0,48
3089,54,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,59
