Small Unit Installation Postcode,Previous Years (2001-2005) - Installations Quantity,Jan 2006 - Installations Quantity,Feb 2006 - Installations Quantity,Mar 2006 - Installations Quantity,Apr 2006 - Installations Quantity,May 2006 - Installations Quantity,Jun 2006 - Installations Quantity,Jul 2006 - Installations Quantity,Aug 2006 - Installations Quantity,Sep 2006 - Installations Quantity,Oct 2006 - Installations Quantity,Nov 2006 - Installations Quantity,Dec 2006 - Installations Quantity,Jan 2007 - Installations Quantity,Feb 2007 - Installations Quantity,Mar 2007 - Installations Quantity,Apr 2007 - Installations Quantity,May 2007 - Installations Quantity,Jun 2007 - Installations Quantity,Jul 2007 - Installations Quantity,Aug 2007 - Installations Quantity,Sep 2007 - Installations Quantity,Oct 2007 - Installations Quantity,Nov 2007 - Installations Quantity,Dec 2007 - Installations Quantity,Installations Quantity Total
0000,674,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677
0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0800,51,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,57
0801,22,1,0,0,1,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,31
0804,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
0810,504,9,8,17,7,23,22,18,19,26,7,9,6,4,7,10,17,23,26,11,17,23,20,17,13,863
0811,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0812,408,5,4,5,3,13,15,18,12,21,21,16,2,9,9,9,16,20,10,20,14,23,20,36,7,736
0813,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0814,1,0,0,0,0,0,1,1,2,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,12
0820,332,5,5,6,2,29,5,9,9,10,6,11,1,5,0,5,2,1,4,10,4,3,4,11,1,480
0821,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0822,77,3,6,0,0,0,5,8,1,0,2,1,1,1,2,0,0,3,2,4,1,4,4,2,1,128
0825,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0826,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0828,37,0,0,2,0,0,1,1,2,0,1,1,0,0,1,0,1,2,0,1,0,0,1,0,0,51
0829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0830,509,7,20,21,16,28,31,18,32,35,26,33,13,14,19,19,29,20,21,29,28,17,24,21,19,"1,049"
0831,28,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,4,0,1,0,43
0832,224,4,10,2,9,13,5,2,3,5,1,4,1,1,3,1,2,0,9,21,12,15,11,17,6,381
0834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0835,157,1,5,0,2,6,6,1,5,5,3,0,0,4,2,4,1,6,7,3,5,2,2,3,3,233
0836,154,0,3,4,5,5,4,5,4,11,7,3,3,1,7,7,8,7,7,3,7,6,8,7,3,279
0837,24,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,34
0838,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8
0839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0840,7,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,1,2,2,0,0,1,0,20
0841,6,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,11
0845,12,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,2,3,0,1,0,0,1,0,24
0846,7,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0847,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5
0850,122,1,2,0,2,5,7,5,5,2,1,0,1,2,5,3,3,9,6,3,3,5,2,4,3,201
0851,33,0,2,0,1,2,1,0,4,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,48
0852,90,0,0,0,2,2,0,7,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,105
0853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0854,32,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,42
0860,36,0,2,0,0,2,1,0,0,0,2,0,1,0,0,1,0,1,1,0,1,1,7,0,0,56
0861,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,13
0862,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5
0870,851,2,5,19,10,13,22,27,41,21,17,14,12,8,5,9,12,13,8,19,14,15,11,37,10,"1,215"
0871,49,0,0,1,1,1,2,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,2,0,1,65
0872,260,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,4,7,3,5,0,0,286
0880,38,0,1,1,0,2,1,1,3,3,4,0,2,0,33,4,3,3,2,0,0,7,5,1,2,116
0881,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,22,0,1,5,0,0,0,2,43
