Small Unit Installation Postcode,Previous Years (2001-2010) - Installations Quantity,Previous Years (2001-2010) - SGU Rated Output In kW,Jan 2011 - Installations Quantity,Jan 2011 - SGU Rated Output In kW,Feb 2011 - Installations Quantity,Feb 2011 - SGU Rated Output In kW,Mar 2011 - Installations Quantity,Mar 2011 - SGU Rated Output In kW,Apr 2011 - Installations Quantity,Apr 2011 - SGU Rated Output In kW,May 2011 - Installations Quantity,May 2011 - SGU Rated Output In kW,Jun 2011 - Installations Quantity,Jun 2011 - SGU Rated Output In kW,Jul 2011 - Installations Quantity,Jul 2011 - SGU Rated Output In kW,Aug 2011 - Installations Quantity,Aug 2011 - SGU Rated Output In kW,Sep 2011 - Installations Quantity,Sep 2011 - SGU Rated Output In kW,Oct 2011 - Installations Quantity,Oct 2011 - SGU Rated Output In kW,Nov 2011 - Installations Quantity,Nov 2011 - SGU Rated Output In kW,Dec 2011 - Installations Quantity,Dec 2011 - SGU Rated Output In kW,Jan 2012 - Installations Quantity,Jan 2012 - SGU Rated Output In kW,Feb 2012 - Installations Quantity,Feb 2012 - SGU Rated Output In kW,Mar 2012 - Installations Quantity,Mar 2012 - SGU Rated Output In kW,Apr 2012 - Installations Quantity,Apr 2012 - SGU Rated Output In kW,May 2012 - Installations Quantity,May 2012 - SGU Rated Output In kW,Jun 2012 - Installations Quantity,Jun 2012 - SGU Rated Output In kW,Jul 2012 - Installations Quantity,Jul 2012 - SGU Rated Output In kW,Aug 2012 - Installations Quantity,Aug 2012 - SGU Rated Output In kW,Sep 2012 - Installations Quantity,Sep 2012 - SGU Rated Output In kW,Oct 2012 - Installations Quantity,Oct 2012 - SGU Rated Output In kW,Nov 2012 - Installations Quantity,Nov 2012 - SGU Rated Output In kW,Dec 2012 - Installations Quantity,Dec 2012 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0000,4,4.460,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,4,4.460
0200,1,0.080,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,0.080
0800,7,34.740,0,0.000,0,0.000,0,0.000,0,0.000,1,2.220,0,0.000,1,3.040,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,28.980,0,0.000,0,0.000,0,0.000,0,0.000,1,29.025,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,11,98.005
0801,2,3.440,0,0.000,0,0.000,0,0.000,0,0.000,1,2.020,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,3,5.460
0803,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
0804,4,7.170,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.020,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,7.410,0,0.000,2,6.670,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,8,27.270
0810,168,246.333,2,3.020,0,0.000,5,8.070,7,12.925,3,7.500,13,23.485,2,3.510,2,3.185,4,15.600,1,0.350,2,3.885,5,84.860,6,15.225,6,27.675,5,27.670,2,8.120,2,8.300,12,45.110,1,4.560,3,13.140,4,11.520,5,14.520,7,24.960,9,41.390,276,654.913
0811,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
0812,91,155.079,1,3.000,0,0.000,2,3.010,5,13.700,4,13.045,4,9.910,3,6.660,3,7.205,2,6.135,5,25.480,2,3.330,0,0.000,3,7.625,1,5.060,3,11.920,2,7.420,5,26.660,4,13.870,1,2.280,1,4.500,2,7.095,3,13.320,3,10.220,7,29.540,157,386.064
0813,1,2.064,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,2.064
