Small Unit Installation Postcode,Previous Years (2001-2001) - Installations Quantity,Jan 2002 - Installations Quantity,Feb 2002 - Installations Quantity,Mar 2002 - Installations Quantity,Apr 2002 - Installations Quantity,May 2002 - Installations Quantity,Jun 2002 - Installations Quantity,Jul 2002 - Installations Quantity,Aug 2002 - Installations Quantity,Sep 2002 - Installations Quantity,Oct 2002 - Installations Quantity,Nov 2002 - Installations Quantity,Dec 2002 - Installations Quantity,Jan 2003 - Installations Quantity,Feb 2003 - Installations Quantity,Mar 2003 - Installations Quantity,Apr 2003 - Installations Quantity,May 2003 - Installations Quantity,Jun 2003 - Installations Quantity,Jul 2003 - Installations Quantity,Aug 2003 - Installations Quantity,Sep 2003 - Installations Quantity,Oct 2003 - Installations Quantity,Nov 2003 - Installations Quantity,Dec 2003 - Installations Quantity,Installations Quantity Total
0000,301,7,5,2,0,4,3,3,5,1,22,5,0,1,2,2,3,0,4,3,3,1,0,2,1,380
0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0800,18,0,0,1,0,1,0,3,0,2,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,33
0801,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,9
0804,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0810,11,3,6,11,2,9,7,17,15,12,17,9,11,6,4,8,7,15,11,9,11,7,9,10,5,232
0811,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,6
0812,8,5,3,4,7,7,2,5,13,5,10,4,14,3,3,13,6,5,7,8,9,6,7,4,7,165
0813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0820,9,1,1,2,4,4,8,8,18,8,13,4,3,3,3,12,1,5,11,9,7,9,2,7,11,163
0821,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,9,0,15
0822,3,1,0,1,1,0,1,0,0,0,1,1,1,0,1,2,0,0,0,0,0,7,2,1,0,23
0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0828,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,3,22
0829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
