Small Unit Installation Postcode,Previous Years (2001-2003) - Installations Quantity,Jan 2004 - Installations Quantity,Feb 2004 - Installations Quantity,Mar 2004 - Installations Quantity,Apr 2004 - Installations Quantity,May 2004 - Installations Quantity,Jun 2004 - Installations Quantity,Jul 2004 - Installations Quantity,Aug 2004 - Installations Quantity,Sep 2004 - Installations Quantity,Oct 2004 - Installations Quantity,Nov 2004 - Installations Quantity,Dec 2004 - Installations Quantity,Jan 2005 - Installations Quantity,Feb 2005 - Installations Quantity,Mar 2005 - Installations Quantity,Apr 2005 - Installations Quantity,May 2005 - Installations Quantity,Jun 2005 - Installations Quantity,Jul 2005 - Installations Quantity,Aug 2005 - Installations Quantity,Sep 2005 - Installations Quantity,Oct 2005 - Installations Quantity,Nov 2005 - Installations Quantity,Dec 2005 - Installations Quantity,Installations Quantity Total
0000,380,3,2,2,0,4,19,18,16,14,15,24,13,14,9,18,27,31,26,20,16,1,2,0,0,674
0200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0800,33,1,0,1,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,51
0801,9,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,1,4,22
0804,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,7
0810,232,12,7,6,14,7,14,21,18,10,13,9,14,8,6,7,7,6,10,8,13,19,21,12,10,504
0811,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9
0812,165,10,11,12,4,13,16,13,21,22,17,6,8,5,10,5,8,7,6,5,7,14,7,8,8,408
0813,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0814,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0820,163,10,4,5,9,17,9,7,9,8,1,10,7,3,3,4,3,11,6,9,10,7,4,5,8,332
0821,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
0822,23,3,1,0,1,1,0,1,9,1,4,6,5,3,3,1,0,0,11,1,1,0,0,1,1,77
0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
0826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6
0827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0828,22,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,1,37
0829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0830,216,10,3,10,10,13,7,14,14,16,9,14,13,18,8,11,5,13,13,19,16,10,18,15,14,509
0831,8,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,1,1,1,4,2,1,2,1,0,28
0832,97,2,1,4,3,9,1,4,4,8,10,5,8,2,1,3,2,7,9,7,17,8,2,4,6,224
0834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0835,90,3,2,3,3,4,1,2,3,3,3,4,7,2,5,2,0,5,1,2,1,4,1,3,3,157
0836,82,1,0,2,3,3,3,7,3,4,3,3,2,3,2,3,2,4,1,2,7,5,1,4,4,154
0837,16,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,24
0838,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
0839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0840,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7
0841,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
0845,3,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,12
0846,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7
0847,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
0850,61,3,1,4,0,0,1,8,3,0,3,1,1,2,3,0,1,1,3,0,1,5,16,3,1,122
0851,7,0,0,0,1,0,3,7,0,0,0,0,0,1,0,0,1,2,2,0,1,2,1,2,3,33
0852,20,0,1,0,1,1,1,1,1,1,5,1,0,7,0,0,2,10,22,5,9,1,0,0,1,90
0853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0854,30,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
0860,21,0,0,0,0,3,1,0,3,1,1,1,0,0,1,0,2,1,0,0,0,0,0,1,0,36
0861,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9
0862,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0870,569,6,10,10,8,17,15,24,8,9,15,13,8,18,15,9,16,9,6,9,8,22,7,15,5,851
0871,20,0,2,1,0,2,0,12,2,0,0,1,0,0,0,0,0,1,1,3,1,0,2,0,1,49
0872,179,3,2,6,2,6,6,4,5,8,0,0,0,0,0,7,9,0,2,10,2,2,5,1,1,260
0880,2,0,1,0,1,2,0,0,3,0,1,0,1,1,1,1,0,0,3,0,0,12,9,0,0,38
0881,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,11
0885,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1095,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1790,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1871,1,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1890,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
