Small Unit Installation Postcode,Previous Years (2001-2018) - Installations Quantity,Previous Years (2001-2018) - SGU Rated Output In kW,Jan 2019 - Installations Quantity,Jan 2019 - SGU Rated Output In kW,Feb 2019 - Installations Quantity,Feb 2019 - SGU Rated Output In kW,Mar 2019 - Installations Quantity,Mar 2019 - SGU Rated Output In kW,Apr 2019 - Installations Quantity,Apr 2019 - SGU Rated Output In kW,May 2019 - Installations Quantity,May 2019 - SGU Rated Output In kW,Jun 2019 - Installations Quantity,Jun 2019 - SGU Rated Output In kW,Jul 2019 - Installations Quantity,Jul 2019 - SGU Rated Output In kW,Aug 2019 - Installations Quantity,Aug 2019 - SGU Rated Output In kW,Sep 2019 - Installations Quantity,Sep 2019 - SGU Rated Output In kW,Oct 2019 - Installations Quantity,Oct 2019 - SGU Rated Output In kW,Nov 2019 - Installations Quantity,Nov 2019 - SGU Rated Output In kW,Dec 2019 - Installations Quantity,Dec 2019 - SGU Rated Output In kW,Jan 2020 - Installations Quantity,Jan 2020 - SGU Rated Output In kW,Feb 2020 - Installations Quantity,Feb 2020 - SGU Rated Output In kW,Mar 2020 - Installations Quantity,Mar 2020 - SGU Rated Output In kW,Apr 2020 - Installations Quantity,Apr 2020 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
5321,82,405.368,0,0.000,0,0.000,1,4.340,2,11.500,0,0.000,1,4.950,0,0.000,1,6.300,1,6.200,1,6.300,1,6.615,1,99.855,0,0.000,1,0.600,2,13.200,1,6.490,95,571.718
5322,206,951.011,0,0.000,1,4.095,1,6.555,1,11.550,0,0.000,4,48.700,1,4.950,1,9.450,1,6.600,1,2.400,2,11.325,2,12.900,1,4.950,1,6.600,2,10.065,2,11.720,227,"1,102.871"
5330,776,"3,693.462",2,39.600,6,42.555,5,63.565,4,123.490,17,168.520,4,46.300,4,67.790,6,85.815,5,48.055,4,121.035,8,58.935,1,6.600,1,6.600,4,23.590,2,9.130,1,6.600,850,"4,611.642"
5331,77,353.407,0,0.000,0,0.000,1,62.400,0,0.000,2,13.920,1,6.600,1,6.600,0,0.000,0,0.000,0,0.000,2,13.325,2,9.135,0,0.000,0,0.000,0,0.000,0,0.000,86,465.387
5332,92,380.517,0,0.000,2,9.035,0,0.000,0,0.000,2,106.535,0,0.000,2,11.700,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,1.080,0,0.000,0,0.000,99,508.867
5333,"1,182","6,309.492",1,4.575,7,34.825,4,22.730,6,54.230,7,57.245,22,281.105,6,33.205,10,189.520,7,46.300,11,100.355,11,84.445,10,94.330,4,55.755,12,67.260,8,91.740,5,36.315,"1,313","7,563.427"
5340,279,"1,516.917",2,11.550,1,12.000,2,12.600,0,0.000,5,46.385,1,9.900,0,0.000,1,10.080,1,2.640,0,0.000,3,19.815,3,35.710,0,0.000,2,10.890,3,82.760,1,6.615,304,"1,777.862"
5341,"1,300","7,596.884",13,104.760,8,34.350,10,63.400,9,109.590,12,89.610,26,241.530,15,144.255,16,202.740,11,73.045,11,104.700,17,175.185,12,116.515,4,25.455,21,149.280,14,105.015,7,50.280,"1,506","9,386.594"
5342,214,"1,278.183",3,23.130,1,5.130,2,11.220,0,0.000,1,10.395,1,8.800,4,88.080,3,45.345,3,49.590,2,21.100,3,29.350,2,9.750,1,1.980,4,43.590,1,6.600,1,18.900,246,"1,651.143"
5343,864,"5,809.367",2,12.180,7,44.930,5,65.135,4,43.620,5,110.550,12,68.585,6,21.995,3,56.010,11,69.775,8,60.015,10,111.445,9,88.655,3,26.430,6,65.655,9,62.365,3,17.160,967,"6,733.872"
5344,151,"1,017.050",2,9.840,3,16.815,0,0.000,1,14.400,0,0.000,5,23.400,1,8.235,0,0.000,3,37.200,1,6.600,1,2.520,3,29.565,0,0.000,1,2.520,0,0.000,0,0.000,172,"1,168.145"
5345,681,"3,661.393",3,22.465,6,45.060,4,28.995,6,46.885,8,49.170,12,66.475,5,44.290,3,28.800,4,45.810,3,18.615,7,66.305,11,132.460,1,6.600,5,30.035,1,6.615,3,30.030,763,"4,330.003"
5346,60,336.804,0,0.000,1,6.270,0,0.000,1,6.300,1,30.000,1,5.040,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,1,6.615,0,0.000,0,0.000,0,0.000,65,391.029
5350,105,730.325,0,0.000,3,19.260,1,6.615,0,0.000,3,36.275,1,13.230,1,6.300,3,28.650,0,0.000,1,6.615,0,0.000,2,13.200,1,5.940,1,5.320,0,0.000,0,0.000,122,871.730
5351,"1,176","4,952.787",10,91.590,13,90.251,4,19.895,8,59.480,10,79.305,5,31.760,11,96.705,6,46.765,10,71.180,8,62.455,17,146.670,6,50.100,6,100.755,9,70.945,16,101.465,3,23.925,"1,318","6,096.033"
5352,982,"5,505.259",9,82.005,8,163.550,9,53.605,8,64.870,9,72.870,12,78.530,8,67.550,9,69.530,10,72.885,10,76.250,13,104.855,8,63.110,9,98.585,14,112.200,14,106.045,6,42.030,"1,138","6,833.729"
