Small Unit Installation Postcode,Previous Years (2001-2015) - Installations Quantity,Jan 2016 - Installations Quantity,Feb 2016 - Installations Quantity,Mar 2016 - Installations Quantity,Apr 2016 - Installations Quantity,May 2016 - Installations Quantity,Jun 2016 - Installations Quantity,Jul 2016 - Installations Quantity,Aug 2016 - Installations Quantity,Sep 2016 - Installations Quantity,Oct 2016 - Installations Quantity,Nov 2016 - Installations Quantity,Dec 2016 - Installations Quantity,Jan 2017 - Installations Quantity,Feb 2017 - Installations Quantity,Mar 2017 - Installations Quantity,Apr 2017 - Installations Quantity,May 2017 - Installations Quantity,Jun 2017 - Installations Quantity,Jul 2017 - Installations Quantity,Aug 2017 - Installations Quantity,Sep 2017 - Installations Quantity,Oct 2017 - Installations Quantity,Nov 2017 - Installations Quantity,Dec 2017 - Installations Quantity,Installations Quantity Total
0000,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677
0200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0800,77,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,82
0801,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0804,19,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22
0810,"2,457",6,11,8,11,25,23,22,23,19,18,21,13,6,9,8,5,13,17,13,19,9,5,7,5,2773
0811,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0812,"1,801",1,5,13,4,4,2,3,9,6,8,6,2,1,5,3,11,15,11,6,7,4,4,7,1,1939
0813,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11
0814,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
0820,951,3,3,4,2,0,0,1,4,3,0,3,3,0,0,4,5,9,2,1,16,17,21,30,0,1082
0821,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,21
0822,403,3,1,0,0,17,4,4,15,4,2,10,1,0,3,0,2,4,4,4,27,4,6,2,2,522
0825,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0826,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0828,96,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,2,1,0,0,0,0,0,0,104
0829,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,31
0830,"2,163",17,4,4,4,2,2,3,7,2,6,8,3,6,3,5,10,5,11,6,9,2,3,19,6,2310
0831,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,52
0832,"1,627",14,32,21,10,14,15,18,14,22,22,25,21,20,16,25,18,19,22,31,30,25,20,22,18,2121
0834,16,0,0,0,0,0,1,1,3,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,25
0835,408,1,1,0,1,1,1,1,4,0,3,0,0,1,0,0,1,2,1,0,2,0,0,1,0,429
0836,617,2,2,0,1,3,0,1,4,3,1,1,1,1,1,1,2,2,1,1,1,3,0,2,0,651
0837,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52
0838,48,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,54
0839,50,0,0,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,62
0840,39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,42
0841,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0845,56,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,59
0846,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0847,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0850,437,1,5,1,0,6,2,1,3,2,28,2,3,0,1,4,6,6,4,3,2,3,6,0,1,527
0851,109,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,114
0852,130,1,0,0,0,0,0,5,0,1,3,0,0,0,0,0,0,2,0,1,5,0,6,1,0,155
0853,35,0,0,0,0,0,0,0,23,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
0854,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,54
0860,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
0861,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21
0862,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0870,"2,237",1,5,2,2,2,0,0,2,4,6,6,3,0,1,8,0,6,6,3,4,3,1,1,0,2303
0871,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,105
0872,349,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,351
0880,227,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,4,1,1,0,0,0,2,1,242
0881,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
0885,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0886,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1455,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1460,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1475,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1495,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1499,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1590,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1595,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1630,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
