Small Unit Installation Postcode,Previous Years (2001-2014) - Installations Quantity,Jan 2015 - Installations Quantity,Feb 2015 - Installations Quantity,Mar 2015 - Installations Quantity,Apr 2015 - Installations Quantity,May 2015 - Installations Quantity,Jun 2015 - Installations Quantity,Jul 2015 - Installations Quantity,Aug 2015 - Installations Quantity,Sep 2015 - Installations Quantity,Oct 2015 - Installations Quantity,Nov 2015 - Installations Quantity,Dec 2015 - Installations Quantity,Jan 2016 - Installations Quantity,Feb 2016 - Installations Quantity,Mar 2016 - Installations Quantity,Apr 2016 - Installations Quantity,May 2016 - Installations Quantity,Jun 2016 - Installations Quantity,Jul 2016 - Installations Quantity,Aug 2016 - Installations Quantity,Sep 2016 - Installations Quantity,Oct 2016 - Installations Quantity,Nov 2016 - Installations Quantity,Dec 2016 - Installations Quantity,Installations Quantity Total
0000,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677
0200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
0800,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,80
0801,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0804,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,21
0810,"2,243",6,9,5,7,14,39,27,23,36,13,19,16,6,11,8,11,25,23,22,23,19,18,21,13,2657
0811,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0812,"1,715",3,9,11,10,6,9,9,10,6,4,4,5,1,5,13,4,4,2,3,9,6,8,6,2,1864
0813,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
0814,25,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29
0820,910,0,9,6,2,6,2,8,1,4,2,1,0,3,3,4,2,0,0,1,4,3,0,3,3,977
0821,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0822,330,5,1,1,0,11,1,11,3,0,2,36,2,3,1,0,0,17,4,4,15,4,2,10,1,464
0825,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0826,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0827,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0828,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,98
0829,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
0830,"1,994",8,17,22,21,28,15,11,7,16,9,9,6,17,4,4,4,2,2,3,7,2,6,8,3,2225
0831,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52
0832,"1,423",8,9,15,10,18,13,24,11,28,31,26,11,14,32,21,10,14,15,18,14,22,22,25,21,1855
0834,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,1,1,23
0835,399,0,0,1,3,0,0,0,2,1,1,0,1,1,1,0,1,1,1,1,4,0,3,0,0,421
0836,592,1,7,3,2,1,2,1,0,1,2,4,1,2,2,0,1,3,0,1,4,3,1,1,1,636
0837,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
0838,42,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,53
0839,44,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,2,0,4,4,0,0,0,0,0,60
0840,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40
0841,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
0845,54,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57
0846,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
0847,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
0850,417,1,1,2,8,2,1,3,0,1,0,0,1,1,5,1,0,6,2,1,3,2,28,2,3,491
0851,107,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,113
0852,129,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,1,3,0,0,140
0853,30,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,23,18,9,0,0,85
