Small Unit Installation Postcode,Previous Years (2001-2001) - Installations Quantity,Previous Years (2001-2001) - SGU Rated Output In kW,Jan 2002 - Installations Quantity,Jan 2002 - SGU Rated Output In kW,Mar 2002 - Installations Quantity,Mar 2002 - SGU Rated Output In kW,Apr 2002 - Installations Quantity,Apr 2002 - SGU Rated Output In kW,Aug 2002 - Installations Quantity,Aug 2002 - SGU Rated Output In kW,Sep 2002 - Installations Quantity,Sep 2002 - SGU Rated Output In kW,Oct 2002 - Installations Quantity,Oct 2002 - SGU Rated Output In kW,Nov 2002 - Installations Quantity,Nov 2002 - SGU Rated Output In kW,Dec 2002 - Installations Quantity,Dec 2002 - SGU Rated Output In kW,Feb 2003 - Installations Quantity,Feb 2003 - SGU Rated Output In kW,Mar 2003 - Installations Quantity,Mar 2003 - SGU Rated Output In kW,Jun 2003 - Installations Quantity,Jun 2003 - SGU Rated Output In kW,Jul 2003 - Installations Quantity,Jul 2003 - SGU Rated Output In kW,Dec 2003 - Installations Quantity,Dec 2003 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2353,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2354,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2358,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2360,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2370,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2372,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2380,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2405,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2429,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2440,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2444,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
2446,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000,0,0.000
