Small Unit Installation Postcode,Previous Years (2001-2016) - Installations Quantity,Previous Years (2001-2016) - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Aug 2018 - Installations Quantity,Aug 2018 - SGU Rated Output In kW,Sep 2018 - Installations Quantity,Sep 2018 - SGU Rated Output In kW,Oct 2018 - Installations Quantity,Oct 2018 - SGU Rated Output In kW,Nov 2018 - Installations Quantity,Nov 2018 - SGU Rated Output In kW,Dec 2018 - Installations Quantity,Dec 2018 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
0000,4,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.46
0200,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.08
0800,39,528.94,0,0,0,0,0,0,1,85.26,0,0,0,0,1,99.18,2,91.18,1,6.27,0,0,0,0,0,0,1,31.9,0,0,0,0,2,146.89,0,0,2,133.82,0,0,2,42.75,1,99.9,1,59.4,0,0,2,13.08,55,1338.57
0801,5,78.168,0,0,0,0,0,0,0,0,0,0,0,0,1,24.84,0,0,0,0,0,0,0,0,0,0,0,0,1,31.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,134.868
0803,1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11.685
0804,11,42.635,0,0,0,0,1,4.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.125,1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,68.95
0810,1197,5675.771,16,76.167,10,41.156,27,128.935,20,96.561,36,245.724,44,324.435,48,293.052,53,292.449,25,149.037,54,494.34,44,325.44,17,273.38,28,265.835,16,89.425,22,125.545,21,126.13,38,297.525,26,203.54,33,196.187,65,418.817,31,182.8,36,211.935,42,337.39,42,421.51,1991,11293.086
0811,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9
0812,579,2539.107,8,35.368,8,36.538,6,27.586,6,122.65,18,86.976,19,132.173,25,134.384,24,137.998,20,139.075,24,231.698,24,157.105,13,92.706,10,64.388,18,103.503,28,308.21,13,68.97,24,145.858,15,85.965,18,127.655,19,114.71,13,81.28,27,171.86,35,314.51,26,170.345,1020,5630.618
0813,6,78.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78.949
0814,3,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13.06
0820,284,2852.462,6,106.48,3,26.02,6,122.268,10,47.211,13,315.14,14,251.555,8,47.064,9,46.885,6,37.976,23,282.423,18,115.091,10,99.27,7,41.1,6,80.19,12,196.014,14,126.87,18,149.78,22,368.855,16,146.965,9,93.02,8,50.05,13,153.333,20,145.742,12,221.87,567,6123.634
0821,5,131.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,147.003
0822,267,2457.399,4,23.58,3,17.85,10,136.881,5,26.92,8,169.43,12,105.865,8,273.03,14,114.516,7,123.41,9,137.93,11,78.226,11,297.668,13,138.21,9,104.49,6,137.77,5,40.44,12,110.84,5,71.22,13,253.66,10,58.285,14,141.34,12,109.796,16,155.5,19,156.761,503,5441.017
0828,51,757.89,0,0,0,0,1,5.94,8,82.38,2,10.476,3,18.67,0,0,6,69.61,3,62.87,6,37.33,2,60.82,1,99.9,1,6.48,1,3.54,3,63.12,0,0,1,6.57,4,143.91,4,19.11,3,6.94,2,76.5,2,18.95,6,53.975,1,99.9,111,1704.881
0829,12,221.04,0,0,0,0,0,0,0,0,1,99.76,0,0,0,0,0,0,0,0,1,1.59,0,0,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6,1,12.96,1,9.145,1,99.84,19,452.435
0830,653,2965.292,7,32.11,5,19.988,4,18.41,8,39.415,16,76.144,35,205.267,19,100.329,14,94.458,20,106.957,22,113.955,13,92.905,17,206.761,14,85.605,23,150.51,21,125.441,18,118.407,13,141.923,20,134.99,25,155.49,29,160.901,28,207.995,39,343.795,35,236.151,23,231.85,1121,6165.049
0831,8,32.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,38.98
0832,601,2623.07,14,64.216,11,141.578,18,83.66,8,36.428,35,177.82,33,182.019,43,246.573,36,208.261,28,167.24,32,172.339,45,269.379,17,197.005,25,160.735,22,139.87,31,286.091,24,145.21,19,111.59,27,173.765,39,243.832,35,208.47,45,292.875,59,509.535,52,326.705,28,212.325,1327,7380.591
0834,64,340.895,2,12.06,2,10.791,3,16.805,0,0,1,5.98,0,0,4,25.509,5,35.996,5,41.515,2,17.915,5,32.98,3,20.52,2,15.37,1,6.48,3,24.816,3,21.97,3,19.46,3,17.54,2,18.42,2,15.78,1,9.145,4,36.81,5,32.975,5,43.295,130,823.027
0835,187,879.196,3,13.77,1,51.2,1,4.48,0,0,8,43.64,4,24.756,6,31.33,4,22.68,7,41.345,5,38.388,5,35.7,6,38.071,3,17.587,1,2.32,3,18.49,2,10.06,3,22.33,5,40.475,5,37.82,4,20.4,4,29.25,13,95.735,9,78.985,7,50.965,296,1648.973
0836,408,2018.457,5,25.713,2,10.68,7,37.731,9,49.831,6,38.83,10,61.046,10,77.34,8,44.569,14,77.735,12,81.49,16,122.821,6,102.94,15,133.545,6,43.89,8,59.865,10,86.125,12,92.36,9,69.02,18,131.59,17,148.665,12,80.546,24,180.496,25,184.461,22,168.345,691,4128.091
0837,23,152.77,0,0,0,0,0,0,0,0,1,9.18,0,0,1,6,1,9.145,0,0,0,0,2,12.96,0,0,0,0,2,17.736,1,6.21,0,0,0,0,0,0,0,0,1,9.18,0,0,2,7.73,1,9.18,2,18.15,37,258.241
